 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 13, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_Boron.dat

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 350.00 MeV   2.673E-03  6.609E-07  340.66 mm    13.24 mm     6.93 mm  
 375.00 MeV   2.580E-03  6.199E-07  381.14 mm    14.46 mm     7.69 mm  
 400.00 MeV   2.498E-03  5.839E-07  423.01 mm    15.67 mm     8.47 mm  
 450.00 MeV   2.363E-03  5.234E-07  510.53 mm    20.04 mm    10.06 mm  
 500.00 MeV   2.256E-03  4.746E-07  602.63 mm    23.97 mm    11.71 mm  
 550.00 MeV   2.169E-03  4.344E-07  698.76 mm    27.62 mm    13.39 mm  
 600.00 MeV   2.097E-03  4.006E-07  798.47 mm    31.09 mm    15.09 mm  
 650.00 MeV   2.037E-03  3.719E-07  901.34 mm    34.39 mm    16.82 mm  
 700.00 MeV   1.987E-03  3.471E-07    1.01 m     37.57 mm    18.56 mm  
 800.00 MeV   1.907E-03  3.065E-07    1.23 m     48.77 mm    22.05 mm  
 900.00 MeV   1.847E-03  2.747E-07    1.45 m     58.48 mm    25.55 mm  
   1.00 GeV   1.801E-03  2.490E-07    1.69 m     67.26 mm    29.04 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3501E+01                 eV / Angstrom 
  2.3501E+02                keV / micron   
  2.3501E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7952E+01                 eV / (1E15 atoms/cm2)
  9.9272E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
