 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Phosphorus

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 800.00 MeV   2.710E-01  1.108E-04    9.16 mm   394.59 um   106.24 um  
 900.00 MeV   2.476E-01  9.956E-05   11.28 mm   496.59 um   129.78 um  
   1.00 GeV   2.286E-01  9.044E-05   13.58 mm   595.35 um   155.23 um  
   1.10 GeV   2.129E-01  8.291E-05   16.07 mm   692.83 um   182.49 um  
   1.20 GeV   1.996E-01  7.658E-05   18.73 mm   789.94 um   211.48 um  
   1.30 GeV   1.882E-01  7.118E-05   21.56 mm   887.14 um   242.13 um  
   1.40 GeV   1.784E-01  6.652E-05   24.56 mm   984.68 um   274.36 um  
   1.50 GeV   1.698E-01  6.245E-05   27.71 mm     1.08 mm   308.11 um  
   1.60 GeV   1.622E-01  5.887E-05   31.02 mm     1.18 mm   343.30 um  
   1.70 GeV   1.555E-01  5.569E-05   34.48 mm     1.28 mm   379.89 um  
   1.80 GeV   1.495E-01  5.285E-05   38.07 mm     1.38 mm   417.81 um  
   2.00 GeV   1.391E-01  4.798E-05   45.69 mm     1.75 mm   497.45 um  
   2.25 GeV   1.287E-01  4.307E-05   55.94 mm     2.28 mm   603.60 um  
   2.50 GeV   1.203E-01  3.910E-05   66.96 mm     2.77 mm   716.38 um  
   2.75 GeV   1.134E-01  3.582E-05   78.71 mm     3.23 mm   835.16 um  
   3.00 GeV   1.076E-01  3.307E-05   91.13 mm     3.68 mm   959.37 um  
   3.25 GeV   1.027E-01  3.072E-05  104.18 mm     4.13 mm     1.09 mm  
   3.50 GeV   9.846E-02  2.869E-05  117.83 mm     4.56 mm     1.22 mm  
   3.75 GeV   9.479E-02  2.693E-05  132.03 mm     4.99 mm     1.36 mm  
   4.00 GeV   9.158E-02  2.537E-05  146.75 mm     5.41 mm     1.50 mm  
   4.50 GeV   8.623E-02  2.276E-05  177.63 mm     6.97 mm     1.79 mm  
   5.00 GeV   8.197E-02  2.065E-05  210.27 mm     8.37 mm     2.10 mm  
   5.50 GeV   7.850E-02  1.891E-05  244.48 mm     9.68 mm     2.41 mm  
   6.00 GeV   7.564E-02  1.745E-05  280.09 mm    10.92 mm     2.73 mm  
   6.50 GeV   7.324E-02  1.621E-05  316.96 mm    12.11 mm     3.05 mm  
   7.00 GeV   7.120E-02  1.514E-05  354.96 mm    13.26 mm     3.38 mm  
   8.00 GeV   6.797E-02  1.338E-05  433.86 mm    17.35 mm     4.04 mm  
   9.00 GeV   6.553E-02  1.199E-05  516.10 mm    20.91 mm     4.71 mm  
  10.00 GeV   6.365E-02  1.088E-05  601.08 mm    24.14 mm     5.39 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.8218E+01                 eV / Angstrom 
  1.8218E+02                keV / micron   
  1.8218E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  5.1433E+01                 eV / (1E15 atoms/cm2)
  7.4091E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
