 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Phosphorus

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 400.00 MeV   2.057E-01  9.653E-05    6.09 mm   230.45 um    75.79 um  
 450.00 MeV   1.873E-01  8.674E-05    7.49 mm   304.61 um    92.47 um  
 500.00 MeV   1.722E-01  7.881E-05    9.02 mm   374.47 um   110.55 um  
 550.00 MeV   1.597E-01  7.226E-05   10.67 mm   442.61 um   129.99 um  
 600.00 MeV   1.491E-01  6.676E-05   12.45 mm   510.16 um   150.75 um  
 650.00 MeV   1.401E-01  6.206E-05   14.35 mm   577.71 um   172.80 um  
 700.00 MeV   1.322E-01  5.800E-05   16.36 mm   645.55 um   196.12 um  
 800.00 MeV   1.192E-01  5.135E-05   20.74 mm   896.34 um   246.41 um  
 900.00 MeV   1.089E-01  4.611E-05   25.55 mm     1.13 mm   301.38 um  
   1.00 GeV   1.006E-01  4.187E-05   30.80 mm     1.35 mm   360.78 um  
   1.10 GeV   9.361E-02  3.837E-05   36.45 mm     1.57 mm   424.43 um  
   1.20 GeV   8.776E-02  3.543E-05   42.51 mm     1.80 mm   492.11 um  
   1.30 GeV   8.276E-02  3.292E-05   48.94 mm     2.02 mm   563.66 um  
   1.40 GeV   7.843E-02  3.076E-05   55.76 mm     2.24 mm   638.89 um  
   1.50 GeV   7.465E-02  2.887E-05   62.93 mm     2.46 mm   717.66 um  
   1.60 GeV   7.131E-02  2.721E-05   70.45 mm     2.69 mm   799.80 um  
   1.70 GeV   6.835E-02  2.574E-05   78.31 mm     2.91 mm   885.18 um  
   1.80 GeV   6.571E-02  2.442E-05   86.49 mm     3.14 mm   973.66 um  
   2.00 GeV   6.117E-02  2.216E-05  103.81 mm     3.99 mm     1.16 mm  
   2.25 GeV   5.659E-02  1.989E-05  127.13 mm     5.19 mm     1.41 mm  
   2.50 GeV   5.289E-02  1.805E-05  152.21 mm     6.29 mm     1.67 mm  
   2.75 GeV   4.985E-02  1.653E-05  178.93 mm     7.35 mm     1.95 mm  
