 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Si- O

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   2.50 GeV   5.693E-02  1.960E-05  148.81 mm     6.16 mm     1.36 mm  
   2.75 GeV   5.364E-02  1.795E-05  175.04 mm     7.20 mm     1.58 mm  
   3.00 GeV   5.088E-02  1.657E-05  202.79 mm     8.21 mm     1.82 mm  
   3.25 GeV   4.854E-02  1.539E-05  231.96 mm     9.20 mm     2.07 mm  
   3.50 GeV   4.654E-02  1.437E-05  262.46 mm    10.17 mm     2.32 mm  
   3.75 GeV   4.479E-02  1.348E-05  294.21 mm    11.12 mm     2.59 mm  
   4.00 GeV   4.327E-02  1.270E-05  327.13 mm    12.07 mm     2.86 mm  
   4.50 GeV   4.073E-02  1.138E-05  396.20 mm    15.54 mm     3.42 mm  
   5.00 GeV   3.871E-02  1.033E-05  469.21 mm    18.68 mm     3.99 mm  
   5.50 GeV   3.707E-02  9.452E-06  545.74 mm    21.61 mm     4.59 mm  
   6.00 GeV   3.572E-02  8.719E-06  625.42 mm    24.39 mm     5.20 mm  
   6.50 GeV   3.458E-02  8.094E-06  707.91 mm    27.05 mm     5.82 mm  
   7.00 GeV   3.362E-02  7.556E-06  792.93 mm    29.62 mm     6.45 mm  
   8.00 GeV   3.209E-02  6.675E-06  969.47 mm    38.77 mm     7.72 mm  
   9.00 GeV   3.095E-02  5.982E-06    1.15 m     46.73 mm     9.01 mm  
  10.00 GeV   3.006E-02  5.424E-06    1.34 m     53.94 mm    10.29 mm  
-----------------------------------------------------------
